,Unnamed: 0,职位名,链接,公司,工作地点,薪资,经验,学历,地区,月薪,大专,本科,硕士,高中
796,1530,大数据开发工程师,http://jobs.51job.com/shanghai/78255989.html?s=01&t=0,上海经达信息科技股份有限公司,上海,0.8-1.2万/月,1年经验,本科,0,10000.0,0,1,0,0
797,1532,运维工程师,http://jobs.51job.com/hangzhou-xhq/75361872.html?s=01&t=0,杭州富聊科技有限公司,杭州-西湖区,1-1.5万/月,2年经验,本科,24,12500.0,0,1,0,0
798,1533,IT运维工程师,http://jobs.51job.com/wuxi/88630716.html?s=01&t=0,无锡信捷电气股份有限公司,无锡,4-6千/月,2年经验,本科,22,5000.0,0,1,0,0
799,1535,自动化测试工程师,http://jobs.51job.com/chengdu/86053791.html?s=01&t=0,成都云志科技有限公司,成都,7-7.5千/月,2年经验,本科,21,7250.0,0,1,0,0
800,1536,高级测试工程师,http://jobs.51job.com/shanghai-bsq/92011217.html?s=01&t=0,上海宝资软件有限公司,上海-宝山区,0.8-1万/月,5-7年经验,本科,0,9000.0,0,1,0,0
801,1537,系统工程师,http://jobs.51job.com/wuhan-hsq/80895981.html?s=01&t=0,武汉适普软件有限公司,武汉-洪山区,0.8-1万/月,2年经验,本科,25,9000.0,0,1,0,0
802,1538,商品套利量化研究员,http://jobs.51job.com/shenzhen-nsq/90166692.html?s=01&t=0,深圳市宜发网络科技有限公司,深圳-南山区,2-2.5万/月,3-4年经验,本科,30,22500.0,0,1,0,0
803,1539,大数据开发工程师,http://jobs.51job.com/shenzhen-lhq/91705182.html?s=01&t=0,智付电子支付有限公司,深圳-罗湖区,1.5-2.5万/月,3-4年经验,大专,30,20000.0,1,0,0,0
804,1540,Audio Manufacturing Test Engineer,http://jobs.51job.com/shanghai/92011519.html?s=01&t=0,深圳市科特立科技有限公司,上海,1-2.5万/月,5-7年经验,本科,0,17500.0,0,1,0,0
805,1541,应用软件工程师,http://jobs.51job.com/hefei/89021178.html?s=01&t=0,苏州宏软信息技术有限公司,异地招聘,6-8千/月,1年经验,本科,20,7000.0,0,1,0,0
806,1544,C++开发工程师,http://jobs.51job.com/guangzhou-thq/87393068.html?s=01&t=0,广州春木弈曦信息科技有限公司,广州-天河区,10-15万/年,2年经验,大专,19,10416.666666666666,1,0,0,0
807,1546,系统运维工程师,http://jobs.51job.com/zhengzhou-zzxq/91683597.html?s=01&t=0,郑州商品交易所易盛信息技术有限公司,郑州-郑东新区,6-8万/年,1年经验,本科,39,5833.333333333332,0,1,0,0
